Player,Team,Comb,Asst,Solo,Sck
SirVocea Dennis,Tampa Bay Buccaneers,22,8,13,1.0
John Franklin-Myers,Denver Broncos,22,11,10,4.0
Dennis Gardeck,Arizona Cardinals,22,5,12,3.0
Da'Shawn Hand,Miami Dolphins,22,7,12,1.0
Johnathan Hankins,Seattle Seahawks,22,11,9,0.0
Patrick Jones II,Minnesota Vikings,22,11,9,5.0
George Karlaftis,Kansas City Chiefs,22,10,9,4.0
Jeremiah Ledbetter,Jacksonville Jaguars,22,9,11,1.0
Jalen Mills,New York Jets,22,12,9,0.0
Emmanuel Ogbah,Miami Dolphins,22,7,12,2.0
Larry Ogunjobi,Pittsburgh Steelers,22,12,8,1.5
Chau Smith-Wade,Carolina Panthers,22,10,10,0.0
Ar'Darius Washington,Baltimore Ravens,22,5,17,1.0
Quinnen Williams,New York Jets,22,6,12,5.0
Jaylon Carlies,Indianapolis Colts,21,7,9,1.0
Akeem Davis-Gaither,Cincinnati Bengals,21,13,8,0.0
Brandin Echols,New York Jets,21,7,11,0.0
Foley Fatukasi,Houston Texans,21,7,11,1.0
Cam Hart,Los Angeles Chargers,21,7,14,0.5
Jaylon Johnson,Chicago Bears,21,4,15,0.0
Sebastian Joseph-Day,Tennessee Titans,21,12,7,2.5
Roger McCreary,Tennessee Titans,21,3,14,1.0
Kyle Van Noy,Baltimore Ravens,21,6,13,7.0
Leonard Williams,Seattle Seahawks,21,10,9,2.5
Jonathan Bullard,Minnesota Vikings,20,10,6,0.0
Kenny Clark,Green Bay Packers,20,9,6,0.0
Dante Fowler Jr.,Washington Commanders,20,7,12,6.5
Willie Gay Jr.,New Orleans Saints,20,5,13,1.0
Charles Harris,Carolina Panthers,20,6,13,3.0
Danielle Hunter,Houston Texans,20,8,8,5.5
D.J. Jones,Denver Broncos,20,9,8,0.0
Travis Jones,Baltimore Ravens,20,6,11,1.0
Byron Murphy II,Seattle Seahawks,20,12,4,0.5
Greg Newsome II,Cleveland Browns,20,1,16,0.0
Jer'Zhan Newton,Washington Commanders,20,10,9,1.0
Amani Oruwariye,Dallas Cowboys,20,3,17,0.0
Owen Pappoe,Arizona Cardinals,20,6,10,0.0
Dell Pettus,New England Patriots,20,11,8,0.0
Elandon Roberts,Pittsburgh Steelers,20,7,10,1.0
Juan Thornhill,Cleveland Browns,20,6,13,0.0
Lukas Van Ness,Green Bay Packers,20,6,10,1.0
Deatrich Wise,New England Patriots,20,8,11,3.0
Tre Brown,Seattle Seahawks,19,2,15,0.0
Maliek Collins,San Francisco 49ers,19,9,10,3.0
DJ Davidson,New York Giants,19,10,6,2.0
Kingsley Enagbare,Green Bay Packers,19,12,6,1.5
Marcus Epps,Las Vegas Raiders,19,3,14,0.0
Alex Highsmith,Pittsburgh Steelers,19,8,8,3.0
Aidan Hutchinson,Detroit Lions,19,7,12,7.5
Arden Key,Tennessee Titans,19,6,10,4.0
Anthony Nelson,Tampa Bay Buccaneers,19,8,10,2.0
Joseph Ossai,Cincinnati Bengals,19,11,8,0.0
Nolan Smith,Philadelphia Eagles,19,10,8,2.5
Preston Smith,Green Bay Packers,19,13,6,2.5
Tarheeb Still,Los Angeles Chargers,19,6,13,0.5
Josh Sweat,Philadelphia Eagles,19,7,10,5.0
Nick Thurman,Carolina Panthers,19,13,5,0.0
Johnathan Abram,New Orleans Saints,18,8,10,0.0
Dorance Armstrong,Washington Commanders,18,11,7,3.0
Jalen Carter,Philadelphia Eagles,18,10,8,3.0
Mario Edwards,Houston Texans,18,10,7,2.0
Jonah Elliss,Denver Broncos,18,8,7,2.0
A.J. Epenesa,Buffalo Bills,18,6,12,4.0
Dre'Mont Jones,Seattle Seahawks,18,7,8,3.0
Devon Key,Denver Broncos,18,10,8,1.0
